Date,close
2017-01-03,43.02
2017-01-04,42.77
2017-01-05,42.65
2017-01-06,41.32
2017-01-09,40.8
2017-01-10,40.81
2017-01-11,40.61
2017-01-12,41.01
2017-01-13,40.96
2017-01-17,41.11
2017-01-18,40.8
2017-01-19,41.0
2017-01-20,41.45
2017-01-23,42.0
2017-01-24,41.36
2017-01-25,41.39
2017-01-26,41.77
2017-01-27,42.01
2017-01-30,41.82
2017-01-31,42.16
2017-02-01,42.06
2017-02-02,41.18
2017-02-03,41.25
2017-02-06,41.06
2017-02-07,41.12
2017-02-08,41.21
2017-02-09,41.31
2017-02-10,41.38
2017-02-13,40.65
2017-02-14,40.75
2017-02-15,41.12
2017-02-16,41.25
2017-02-17,41.48
2017-02-21,41.73
2017-02-22,41.59
2017-02-23,41.95
2017-02-24,42.36
2017-02-27,41.82
2017-02-28,41.79
2017-03-01,42.04
2017-03-02,42.07
2017-03-03,42.01
2017-03-06,41.96
2017-03-07,41.88
2017-03-08,41.77
2017-03-09,41.94
2017-03-10,42.35
2017-03-13,42.37
2017-03-14,42.09
2017-03-15,42.59
2017-03-16,42.44
2017-03-17,42.61
2017-03-20,42.42
2017-03-21,42.08
2017-03-22,41.65
2017-03-23,41.65
2017-03-24,41.68
2017-03-27,41.49
2017-03-28,41.56
2017-03-29,41.45
2017-03-30,41.76
2017-03-31,41.55
2017-04-03,41.57
2017-04-04,41.69
2017-04-05,41.51
2017-04-06,40.6
2017-04-07,40.59
2017-04-10,40.38
2017-04-11,40.31
2017-04-12,40.56
2017-04-13,40.28
2017-04-17,40.3
2017-04-18,40.25
2017-04-19,40.25
2017-04-20,40.36
2017-04-21,39.93
2017-04-24,40.02
2017-04-25,39.94
2017-04-26,40.44
2017-04-27,39.91
2017-04-28,39.63
2017-05-01,39.1
2017-05-02,38.95
2017-05-03,38.4
2017-05-04,38.01
2017-05-05,38.56
2017-05-08,38.57
2017-05-09,38.22
2017-05-10,38.45
2017-05-11,38.44
2017-05-12,38.49
2017-05-15,38.59
2017-05-16,38.19
2017-05-17,37.46
2017-05-18,37.95
2017-05-19,38.24
2017-05-22,38.25
2017-05-23,38.31
2017-05-24,38.15
2017-05-25,38.23
2017-05-26,38.12
2017-05-30,38.55
2017-05-31,38.53
2017-06-01,38.87
2017-06-02,38.87
2017-06-05,38.81
2017-06-06,38.73
2017-06-07,38.76
2017-06-08,38.5
2017-06-09,38.79
2017-06-12,39.07
2017-06-13,38.68
2017-06-14,38.72
2017-06-15,38.84
2017-06-16,38.96
2017-06-19,38.91
2017-06-20,38.66
2017-06-21,38.15
2017-06-22,38.1
2017-06-23,37.95
2017-06-26,38.15
2017-06-27,37.7
2017-06-28,37.94
2017-06-29,37.62
2017-06-30,37.73
2017-07-03,38.11
2017-07-05,38.12
2017-07-06,37.18
2017-07-07,36.98
2017-07-10,36.83
2017-07-11,36.6
2017-07-12,36.83
2017-07-13,36.21
2017-07-14,36.3
2017-07-17,36.39
2017-07-18,35.99
2017-07-19,36.13
2017-07-20,36.52
2017-07-21,36.51
2017-07-24,36.23
2017-07-25,36.22
2017-07-26,38.03
2017-07-27,39.41
2017-07-28,39.0
2017-07-31,39.0
2017-08-01,38.88
2017-08-02,38.27
2017-08-03,38.28
2017-08-04,38.43
2017-08-07,38.52
2017-08-08,38.36
2017-08-09,38.36
2017-08-10,38.19
2017-08-11,38.1
2017-08-14,38.5
2017-08-15,38.16
2017-08-16,38.23
2017-08-17,37.6
2017-08-18,37.37
2017-08-21,37.58
2017-08-22,37.98
2017-08-23,37.92
2017-08-24,37.68
2017-08-25,37.99
2017-08-28,37.94
2017-08-29,37.85
2017-08-30,37.67
2017-08-31,37.46
2017-09-01,37.48
2017-09-05,37.09
2017-09-06,36.57
2017-09-07,35.6
2017-09-08,35.59
2017-09-11,35.74
2017-09-12,36.26
2017-09-13,36.55
2017-09-14,36.32
2017-09-15,37.1
2017-09-18,37.42
2017-09-19,38.21
2017-09-20,38.43
2017-09-21,38.22
2017-09-22,38.59
2017-09-25,39.12
2017-09-26,38.72
2017-09-27,38.77
2017-09-28,39.04
2017-09-29,39.17
2017-10-02,39.11
2017-10-03,39.48
2017-10-04,39.5
2017-10-05,39.51
2017-10-06,38.59
2017-10-09,38.3
2017-10-10,38.5
2017-10-11,38.19
2017-10-12,35.86
2017-10-13,35.7
2017-10-16,36.17
2017-10-17,36.23
2017-10-18,35.71
2017-10-19,35.69
2017-10-20,35.54
2017-10-23,35.25
2017-10-24,34.86
2017-10-25,33.49
2017-10-26,33.68
2017-10-27,33.97
2017-10-30,33.54
2017-10-31,33.65
2017-11-01,33.55
2017-11-02,33.17
2017-11-03,33.3
2017-11-06,32.86
2017-11-07,33.07
2017-11-08,33.44
2017-11-09,34.0
2017-11-10,34.22
2017-11-13,34.17
2017-11-14,33.72
2017-11-15,33.81
2017-11-16,34.52
2017-11-17,34.51
2017-11-20,34.64
2017-11-21,34.33
2017-11-22,34.87
2017-11-24,34.81
2017-11-27,34.68
2017-11-28,35.42
2017-11-29,36.48
2017-11-30,36.38
2017-12-01,36.5
2017-12-04,37.27
2017-12-05,36.55
2017-12-06,36.11
2017-12-07,36.17
2017-12-08,36.73
2017-12-11,36.9
2017-12-12,38.1
2017-12-13,38.04
2017-12-14,37.74
2017-12-15,38.24
2017-12-18,38.46
2017-12-19,38.05
2017-12-20,38.55
2017-12-21,38.88
2017-12-22,38.94
2017-12-26,39.06
2017-12-27,38.89
2017-12-28,39.18
2017-12-29,38.88
2018-01-02,38.54
2018-01-03,37.65
2018-01-04,38.0
2018-01-05,38.14
2018-01-08,38.25
2018-01-09,37.49
2018-01-10,36.62
2018-01-11,36.48
2018-01-12,36.9
2018-01-16,36.72
2018-01-17,36.85
2018-01-18,37.15
2018-01-19,37.21
2018-01-22,37.87
2018-01-23,37.19
2018-01-24,37.02
2018-01-25,37.45
2018-01-26,37.82
2018-01-29,37.26
2018-01-30,37.44
2018-01-31,37.45
2018-02-01,39.16
2018-02-02,38.07
2018-02-05,36.63
2018-02-06,36.83
2018-02-07,36.93
2018-02-08,35.57
2018-02-09,36.05
2018-02-12,36.37
2018-02-13,36.6
2018-02-14,36.41
2018-02-15,37.0
2018-02-16,37.14
2018-02-20,36.77
2018-02-21,36.31
2018-02-22,36.47
2018-02-23,36.72
2018-02-26,37.46
2018-02-27,36.87
2018-02-28,36.3
2018-03-01,36.0
2018-03-02,36.35
2018-03-05,36.7
2018-03-06,36.87
2018-03-07,36.91
2018-03-08,37.11
2018-03-09,37.05
2018-03-12,37.36
2018-03-13,37.39
2018-03-14,37.03
2018-03-15,37.04
2018-03-16,37.0
2018-03-19,36.58
2018-03-20,36.34
2018-03-21,36.0
2018-03-22,35.37
2018-03-23,34.7
2018-03-26,34.69
2018-03-27,34.9
2018-03-28,35.56
2018-03-29,35.65
2018-04-02,35.1
2018-04-03,35.37
2018-04-04,35.88
2018-04-05,36.14
2018-04-06,35.63
2018-04-09,35.17
2018-04-10,35.81
2018-04-11,35.25
2018-04-12,35.16
2018-04-13,35.14
2018-04-16,35.64
2018-04-17,35.36
2018-04-18,35.21
2018-04-19,34.82
2018-04-20,34.67
2018-04-23,34.89
2018-04-24,35.0
2018-04-25,35.2
2018-04-26,33.1
2018-04-27,33.04
2018-04-30,32.7
2018-05-01,32.54
2018-05-02,32.06
2018-05-03,31.94
2018-05-04,32.14
2018-05-07,32.04
2018-05-08,31.7
2018-05-09,31.4
2018-05-10,31.88
2018-05-11,32.29
2018-05-14,32.19
2018-05-15,32.09
2018-05-16,32.3
2018-05-17,31.93
2018-05-18,32.05
2018-05-21,32.59
2018-05-22,32.43
2018-05-23,32.33
2018-05-24,32.78
2018-05-25,32.51
2018-05-29,32.33
2018-05-30,32.57
2018-05-31,32.32
2018-06-01,32.47
2018-06-04,32.41
2018-06-05,32.68
2018-06-06,33.38
2018-06-07,33.81
2018-06-08,33.83
2018-06-11,34.18
2018-06-12,34.35
2018-06-13,32.22
2018-06-14,32.52
2018-06-15,33.15
2018-06-18,32.19
2018-06-19,32.39
2018-06-20,32.0
2018-06-21,31.6
2018-06-22,31.69
2018-06-25,31.71
2018-06-26,31.62
2018-06-27,31.65
2018-06-28,32.19
2018-06-29,32.11
2018-07-02,32.21
2018-07-03,32.71
2018-07-05,32.6
2018-07-06,32.68
2018-07-09,32.15
2018-07-10,32.5
2018-07-11,31.87
2018-07-12,32.23
2018-07-13,31.67
2018-07-16,31.9
2018-07-17,31.76
2018-07-18,31.71
2018-07-19,31.27
2018-07-20,31.1
2018-07-23,31.0
2018-07-24,31.68
2018-07-25,30.25
2018-07-26,30.35
2018-07-27,31.08
2018-07-30,32.0
2018-07-31,31.97
2018-08-01,31.9
2018-08-02,31.85
2018-08-03,32.27
2018-08-06,32.11
2018-08-07,32.4
2018-08-08,32.36
2018-08-09,32.49
2018-08-10,32.26
2018-08-13,32.21
2018-08-14,32.24
2018-08-15,32.47
2018-08-16,33.09
2018-08-17,33.03
2018-08-20,33.11
2018-08-21,33.4
2018-08-22,32.68
2018-08-23,32.49
2018-08-24,32.64
2018-08-27,32.83
2018-08-28,32.67
2018-08-29,32.23
2018-08-30,31.96
2018-08-31,31.94
2018-09-04,31.86
2018-09-05,32.02
2018-09-06,32.18
2018-09-07,32.12
2018-09-10,32.39
2018-09-11,32.67
2018-09-12,33.42
2018-09-13,33.68
2018-09-14,33.6
2018-09-17,33.62
2018-09-18,33.72
2018-09-19,33.37
2018-09-20,33.44
2018-09-21,33.78
2018-09-24,33.91
2018-09-25,33.76
2018-09-26,33.35
2018-09-27,33.42
2018-09-28,33.58
2018-10-01,33.49
2018-10-02,33.92
2018-10-03,33.92
2018-10-04,34.12
2018-10-05,33.99
2018-10-08,34.11
2018-10-09,33.5
2018-10-10,32.85
2018-10-11,31.75
2018-10-12,32.25
2018-10-15,32.36
2018-10-16,32.39
2018-10-17,32.57
2018-10-18,32.5
2018-10-19,32.87
2018-10-22,32.67
2018-10-23,33.02
2018-10-24,30.36
2018-10-25,29.98
2018-10-26,29.09
2018-10-29,29.64
2018-10-30,30.47
2018-10-31,30.68
2018-11-01,30.49
2018-11-02,30.52
2018-11-05,30.63
2018-11-06,30.96
2018-11-07,31.1
2018-11-08,31.04
2018-11-09,30.69
2018-11-12,30.78
2018-11-13,30.33
2018-11-14,30.51
2018-11-15,30.12
2018-11-16,30.29
2018-11-19,30.35
2018-11-20,29.42
2018-11-21,29.77
2018-11-23,29.36
2018-11-26,29.95
2018-11-27,30.44
2018-11-28,30.74
2018-11-29,30.57
2018-11-30,31.24
2018-12-03,31.71
2018-12-04,30.73
2018-12-06,30.53
2018-12-07,30.14
2018-12-10,29.91
2018-12-11,29.7
2018-12-12,30.16
2018-12-13,29.91
2018-12-14,30.22
2018-12-17,29.86
2018-12-18,29.75
2018-12-19,29.82
2018-12-20,28.65
2018-12-21,28.31
2018-12-24,27.36
2018-12-26,28.08
2018-12-27,28.15
2018-12-28,28.46
2018-12-31,28.54
2019-01-02,29.54
2019-01-03,29.58
2019-01-04,30.34
2019-01-07,30.89
2019-01-08,31.28
2019-01-09,30.1
2019-01-10,30.4
2019-01-11,30.87
2019-01-14,30.62
2019-01-15,30.6
2019-01-16,30.56
2019-01-17,30.64
2019-01-18,30.96
2019-01-22,30.58
2019-01-23,30.89
2019-01-24,30.6
2019-01-25,30.66
2019-01-28,30.67
2019-01-29,30.7
2019-01-30,29.37
2019-01-31,30.06
2019-02-01,30.0
2019-02-04,29.61
2019-02-05,29.63
2019-02-06,29.56
2019-02-07,29.45
2019-02-08,29.55
2019-02-11,29.71
2019-02-12,29.81
2019-02-13,29.84
2019-02-14,29.79
2019-02-15,30.47
2019-02-19,30.63
2019-02-20,30.85
2019-02-21,30.83
2019-02-22,31.15
2019-02-25,31.13
2019-02-26,31.22
2019-02-27,31.06
2019-02-28,31.12
2019-03-01,30.82
2019-03-04,29.98
2019-03-05,29.95
2019-03-06,29.81
2019-03-07,29.92
2019-03-08,29.96
2019-03-11,30.22
2019-03-12,30.63
2019-03-13,30.28
2019-03-14,30.28
2019-03-15,30.67
2019-03-18,30.8
2019-03-19,30.68
2019-03-20,30.51
2019-03-21,31.06
2019-03-22,31.07
2019-03-25,30.77
2019-03-26,31.39
2019-03-27,31.4
2019-03-28,31.01
2019-03-29,31.36
2019-04-01,31.95
2019-04-02,31.63
2019-04-03,31.87
2019-04-04,31.98
2019-04-05,32.35
2019-04-08,32.39
2019-04-09,31.75
2019-04-10,31.88
2019-04-11,32.2
2019-04-12,32.2
2019-04-15,32.02
2019-04-16,32.25
2019-04-17,31.95
2019-04-18,32.03
2019-04-22,32.08
2019-04-23,32.1
2019-04-24,30.79
2019-04-25,30.34
2019-04-26,30.68
2019-04-29,30.88
2019-04-30,30.96
2019-05-01,30.79
2019-05-02,30.62
2019-05-03,30.7
2019-05-06,30.59
2019-05-07,30.53
2019-05-08,30.3
2019-05-09,30.38
2019-05-10,30.62
2019-05-13,30.47
2019-05-14,31.09
2019-05-15,31.25
2019-05-16,31.62
2019-05-17,31.8
2019-05-20,32.19
2019-05-21,32.41
2019-05-22,32.28
2019-05-23,32.14
2019-05-24,32.27
2019-05-28,31.93
2019-05-29,31.91
2019-05-30,31.86
2019-05-31,30.58
2019-06-03,31.09
2019-06-04,31.48
2019-06-05,31.68
2019-06-06,32.1
2019-06-07,32.49
2019-06-10,31.93
2019-06-11,32.11
2019-06-12,32.18
2019-06-13,32.29
2019-06-14,32.35
2019-06-17,32.3
2019-06-18,32.44
2019-06-19,32.41
2019-06-20,32.54
2019-06-21,32.45
2019-06-24,32.58
2019-06-25,32.55
2019-06-26,32.53
2019-06-27,32.98
2019-06-28,33.51
2019-07-01,33.43
2019-07-02,33.84
2019-07-03,33.98
2019-07-05,34.3
2019-07-08,34.25
2019-07-09,33.54
2019-07-10,33.76
2019-07-11,33.46
2019-07-12,33.65
2019-07-15,33.71
2019-07-16,33.58
2019-07-17,33.26
2019-07-18,33.09
2019-07-19,32.79
2019-07-22,32.13
2019-07-23,32.09
2019-07-24,33.24
2019-07-25,33.81
2019-07-26,34.15
2019-07-29,34.34
2019-07-30,34.18
2019-07-31,34.05
2019-08-01,34.12
2019-08-02,34.17
2019-08-05,33.49
2019-08-06,33.96
2019-08-07,34.06
2019-08-08,34.54
2019-08-09,34.54
2019-08-12,34.48
2019-08-13,34.86
2019-08-14,34.09
2019-08-15,34.34
2019-08-16,34.97
2019-08-19,35.38
2019-08-20,34.98
2019-08-21,35.16
2019-08-22,35.39
2019-08-23,34.82
2019-08-26,34.93
2019-08-27,34.72
2019-08-28,34.96
2019-08-29,35.15
2019-08-30,35.26
2019-09-03,35.38
2019-09-04,35.72
2019-09-05,35.89
2019-09-06,36.25
2019-09-09,36.79
2019-09-10,37.58
2019-09-11,38.74
2019-09-12,38.38
2019-09-13,37.91
2019-09-16,37.31
2019-09-17,37.16
2019-09-18,36.76
2019-09-19,37.15
2019-09-20,37.91
2019-09-23,37.6
2019-09-24,37.38
2019-09-25,37.38
2019-09-26,37.38
2019-09-27,37.43
2019-09-30,37.84
2019-10-01,37.41
2019-10-02,37.08
2019-10-03,37.19
2019-10-04,37.51
2019-10-07,37.66
2019-10-08,37.48
2019-10-09,37.05
2019-10-10,37.42
2019-10-11,37.58
2019-10-14,37.47
2019-10-15,37.9
2019-10-16,37.79
2019-10-17,37.81
2019-10-18,38.47
2019-10-21,38.23
2019-10-22,38.17
2019-10-23,37.74
2019-10-24,36.82
2019-10-25,36.91
2019-10-28,38.49
2019-10-29,38.06
2019-10-30,38.2
2019-10-31,38.49
2019-11-01,38.95
2019-11-04,38.89
2019-11-05,39.17
2019-11-06,39.25
2019-11-07,39.42
2019-11-08,39.38
2019-11-11,39.37
2019-11-12,39.17
2019-11-13,39.16
2019-11-14,38.95
2019-11-15,39.5
2019-11-18,39.63
2019-11-19,38.0
2019-11-20,37.18
2019-11-21,37.6
2019-11-22,37.75
2019-11-25,37.26
2019-11-26,37.4
2019-11-27,37.66
2019-11-29,37.38
2019-12-02,37.32
2019-12-03,37.55
2019-12-04,38.1
2019-12-05,38.19
2019-12-06,38.2
2019-12-09,38.04
2019-12-10,38.06
2019-12-11,38.17
2019-12-12,38.35
2019-12-13,38.26
2019-12-16,38.59
2019-12-17,38.5
2019-12-18,38.74
2019-12-19,38.93
2019-12-20,39.15
2019-12-23,39.07
2019-12-24,38.96
2019-12-26,39.16
2019-12-27,39.24
2019-12-30,39.04
2019-12-31,39.08
2020-01-02,38.86
2020-01-03,39.06
2020-01-06,39.1
2020-01-07,39.25
2020-01-08,39.37
2020-01-09,38.8
