Date,close
2017-01-03,63.85
2017-01-04,63.82
2017-01-05,62.59
2017-01-06,63.68
2017-01-09,64.42
2017-01-10,64.85
2017-01-11,66.48
2017-01-12,66.48
2017-01-13,66.34
2017-01-17,64.95
2017-01-18,66.5
2017-01-19,65.69
2017-01-20,66.93
2017-01-23,67.03
2017-01-24,67.9
2017-01-25,68.82
2017-01-26,67.63
2017-01-27,68.76
2017-01-30,69.06
2017-01-31,67.35
2017-02-01,68.41
2017-02-02,68.78
2017-02-03,69.43
2017-02-06,69.17
2017-02-07,69.62
2017-02-08,73.8
2017-02-09,70.93
2017-02-10,70.9
2017-02-13,70.66
2017-02-14,70.78
2017-02-15,71.9
2017-02-16,71.71
2017-02-17,71.68
2017-02-21,72.48
2017-02-22,73.04
2017-02-23,72.71
2017-02-24,72.83
2017-02-27,73.13
2017-02-28,72.52
2017-03-01,73.64
2017-03-02,73.01
2017-03-03,73.3
2017-03-06,73.92
2017-03-07,73.84
2017-03-08,73.53
2017-03-09,73.48
2017-03-10,73.95
2017-03-13,74.5
2017-03-14,73.99
2017-03-15,74.52
2017-03-16,74.12
2017-03-17,74.28
2017-03-20,74.35
2017-03-21,72.34
2017-03-22,73.5
2017-03-23,72.75
2017-03-24,73.15
2017-03-27,72.82
2017-03-28,73.5
2017-03-29,73.68
2017-03-30,73.88
2017-03-31,73.78
2017-04-03,73.21
2017-04-04,73.45
2017-04-05,73.02
2017-04-06,73.52
2017-04-07,74.06
2017-04-10,73.41
2017-04-11,72.66
2017-04-12,72.15
2017-04-13,72.24
2017-04-17,73.02
2017-04-18,74.13
2017-04-19,74.86
2017-04-20,75.63
2017-04-21,74.43
2017-04-24,75.95
2017-04-25,76.73
2017-04-26,76.15
2017-04-27,76.75
2017-04-28,75.58
2017-05-01,76.16
2017-05-02,75.69
2017-05-03,75.25
2017-05-04,75.01
2017-05-05,75.17
2017-05-08,75.46
2017-05-09,76.45
2017-05-10,78.51
2017-05-11,79.04
2017-05-12,79.0
2017-05-15,80.13
2017-05-16,81.63
2017-05-17,78.34
2017-05-18,79.34
2017-05-19,80.18
2017-05-22,81.11
2017-05-23,81.35
2017-05-24,81.66
2017-05-25,81.77
2017-05-26,81.7
2017-05-30,82.51
2017-05-31,83.3
2017-06-01,83.43
2017-06-02,84.34
2017-06-05,84.51
2017-06-06,85.19
2017-06-07,86.3
2017-06-08,86.86
2017-06-09,83.48
2017-06-12,83.08
2017-06-13,83.53
2017-06-14,82.3
2017-06-15,81.57
2017-06-16,81.23
2017-06-19,82.61
2017-06-20,80.35
2017-06-21,80.83
2017-06-22,80.07
2017-06-23,81.59
2017-06-26,80.3
2017-06-27,78.71
2017-06-28,79.83
2017-06-29,77.38
2017-06-30,77.18
2017-07-03,75.81
2017-07-05,77.94
2017-07-06,77.12
2017-07-07,78.36
2017-07-10,78.76
2017-07-11,79.11
2017-07-12,80.16
2017-07-13,79.49
2017-07-14,80.84
2017-07-17,81.03
2017-07-18,81.57
2017-07-19,82.31
2017-07-20,83.04
2017-07-21,80.88
2017-07-24,80.55
2017-07-25,80.94
2017-07-26,82.69
2017-07-27,80.93
2017-07-28,80.7
2017-07-31,80.04
2017-08-01,80.33
2017-08-02,79.82
2017-08-03,80.68
2017-08-04,83.49
2017-08-07,84.98
2017-08-08,84.62
2017-08-09,83.6
2017-08-10,81.24
2017-08-11,82.21
2017-08-14,84.02
2017-08-15,84.29
2017-08-16,84.16
2017-08-17,81.65
2017-08-18,81.58
2017-08-21,81.53
2017-08-22,82.71
2017-08-23,82.9
2017-08-24,82.69
2017-08-25,82.63
2017-08-28,83.76
2017-08-29,83.83
2017-08-30,85.68
2017-08-31,86.8
2017-09-01,87.85
2017-09-05,86.49
2017-09-06,86.12
2017-09-07,87.39
2017-09-08,86.57
2017-09-11,88.38
2017-09-12,88.45
2017-09-13,88.34
2017-09-14,89.24
2017-09-15,89.62
2017-09-18,91.01
2017-09-19,90.98
2017-09-20,88.32
2017-09-21,88.38
2017-09-22,89.69
2017-09-25,88.07
2017-09-26,87.76
2017-09-27,88.92
2017-09-28,89.14
2017-09-29,89.78
2017-10-02,90.55
2017-10-03,90.72
2017-10-04,91.6
2017-10-05,91.3
2017-10-06,91.55
2017-10-09,91.49
2017-10-10,91.92
2017-10-11,91.93
2017-10-12,91.78
2017-10-13,91.76
2017-10-16,91.89
2017-10-17,91.7
2017-10-18,92.12
2017-10-19,93.05
2017-10-20,92.73
2017-10-23,92.61
2017-10-24,93.31
2017-10-25,92.32
2017-10-26,93.12
2017-10-27,94.72
2017-10-30,95.21
2017-10-31,94.8
2017-11-01,92.99
2017-11-02,93.46
2017-11-03,93.66
2017-11-06,95.36
2017-11-07,91.44
2017-11-08,92.81
2017-11-09,90.81
2017-11-10,91.56
2017-11-13,91.02
2017-11-14,91.01
2017-11-15,89.59
2017-11-16,90.78
2017-11-17,91.3
2017-11-20,91.39
2017-11-21,91.87
2017-11-22,90.4
2017-11-24,90.97
2017-11-27,88.93
2017-11-28,90.58
2017-11-29,86.58
2017-11-30,86.99
2017-12-01,87.0
2017-12-04,86.3
2017-12-05,86.21
2017-12-06,86.31
2017-12-07,87.39
2017-12-08,87.41
2017-12-11,87.39
2017-12-12,85.84
2017-12-13,86.4
2017-12-14,85.47
2017-12-15,86.75
2017-12-18,88.97
2017-12-19,89.59
2017-12-20,90.22
2017-12-21,89.46
2017-12-22,88.92
2017-12-26,88.63
2017-12-27,88.4
2017-12-28,88.61
2017-12-29,87.88
2018-01-02,90.41
2018-01-03,91.77
2018-01-04,91.99
2018-01-05,92.26
2018-01-08,92.62
2018-01-09,92.51
2018-01-10,90.95
2018-01-11,92.11
2018-01-12,93.44
2018-01-16,93.33
2018-01-17,96.02
2018-01-18,97.29
2018-01-19,97.45
2018-01-22,98.69
2018-01-23,98.52
2018-01-24,95.36
2018-01-25,92.48
2018-01-26,96.91
2018-01-29,96.88
2018-01-30,94.99
2018-01-31,95.22
2018-02-01,94.54
2018-02-02,93.31
2018-02-05,89.5
2018-02-06,91.92
2018-02-07,82.91
2018-02-08,79.9
2018-02-09,81.04
2018-02-12,83.02
2018-02-13,80.81
2018-02-14,82.21
2018-02-15,82.49
2018-02-16,83.41
2018-02-20,84.86
2018-02-21,84.15
2018-02-22,83.92
2018-02-23,85.16
2018-02-26,86.38
2018-02-27,88.55
2018-02-28,88.93
2018-03-01,89.02
2018-03-02,91.29
2018-03-05,94.47
2018-03-06,96.57
2018-03-07,95.57
2018-03-08,95.34
2018-03-09,98.97
2018-03-12,100.24
2018-03-13,98.03
2018-03-14,97.25
2018-03-15,97.53
2018-03-16,98.18
2018-03-19,96.97
2018-03-20,98.54
2018-03-21,99.21
2018-03-22,96.55
2018-03-23,94.01
2018-03-26,97.99
2018-03-27,94.4
2018-03-28,91.16
2018-03-29,91.36
2018-04-02,87.63
2018-04-03,89.03
2018-04-04,90.18
2018-04-05,89.62
2018-04-06,86.27
2018-04-09,86.2
2018-04-10,88.73
2018-04-11,88.5
2018-04-12,89.06
2018-04-13,87.33
2018-04-16,86.23
2018-04-17,89.07
2018-04-18,88.0
2018-04-19,85.14
2018-04-20,85.68
2018-04-23,84.4
2018-04-24,82.44
2018-04-25,82.98
2018-04-26,84.9
2018-04-27,84.66
2018-04-30,83.66
2018-05-01,85.02
2018-05-02,84.78
2018-05-03,86.11
2018-05-04,87.51
2018-05-07,88.74
2018-05-08,90.65
2018-05-09,91.86
2018-05-10,93.16
2018-05-11,92.95
2018-05-14,93.46
2018-05-15,93.36
2018-05-16,93.51
2018-05-17,93.37
2018-05-18,92.8
2018-05-21,93.81
2018-05-22,94.33
2018-05-23,94.08
2018-05-24,94.85
2018-05-25,95.81
2018-05-29,95.23
2018-05-30,97.51
2018-05-31,97.38
2018-06-01,101.05
2018-06-04,101.41
2018-06-05,102.14
2018-06-06,103.31
2018-06-07,102.22
2018-06-08,102.15
2018-06-11,102.4
2018-06-12,102.69
2018-06-13,102.08
2018-06-14,102.57
2018-06-15,101.98
2018-06-18,101.64
2018-06-19,100.4
2018-06-20,101.23
2018-06-21,98.7
2018-06-22,96.92
2018-06-25,93.24
2018-06-26,93.14
2018-06-27,90.3
2018-06-28,90.44
2018-06-29,90.95
2018-07-02,91.47
2018-07-03,90.1
2018-07-05,92.13
2018-07-06,93.41
2018-07-09,93.38
2018-07-10,94.6
2018-07-11,92.01
2018-07-12,94.28
2018-07-13,94.03
2018-07-16,94.11
2018-07-17,95.05
2018-07-18,95.76
2018-07-19,94.8
2018-07-20,94.37
2018-07-23,94.2
2018-07-24,93.26
2018-07-25,92.93
2018-07-26,94.67
2018-07-27,95.31
2018-07-30,93.21
2018-07-31,93.43
2018-08-01,93.59
2018-08-02,94.61
2018-08-03,95.09
2018-08-06,95.6
2018-08-07,97.26
2018-08-08,97.76
2018-08-09,98.08
2018-08-10,87.41
2018-08-13,87.03
2018-08-14,84.08
2018-08-15,82.34
2018-08-16,81.79
2018-08-17,83.01
2018-08-20,82.5
2018-08-21,85.02
2018-08-22,85.42
2018-08-23,85.67
2018-08-24,86.98
2018-08-27,88.37
2018-08-28,87.5
2018-08-29,86.82
2018-08-30,85.55
2018-08-31,86.03
2018-09-04,86.09
2018-09-05,85.14
2018-09-06,83.9
2018-09-07,83.05
2018-09-10,84.02
2018-09-11,83.23
2018-09-12,83.47
2018-09-13,83.77
2018-09-14,83.6
2018-09-17,80.88
2018-09-18,80.39
2018-09-19,81.37
2018-09-20,83.38
2018-09-21,82.75
2018-09-24,82.3
2018-09-25,78.77
2018-09-26,78.79
2018-09-27,78.61
2018-09-28,78.91
2018-10-01,77.16
2018-10-02,77.65
2018-10-03,75.12
2018-10-04,71.43
2018-10-05,69.28
2018-10-08,67.7
2018-10-09,67.38
2018-10-10,66.44
2018-10-11,67.7
2018-10-12,68.26
2018-10-15,68.22
2018-10-16,69.15
2018-10-17,69.05
2018-10-18,67.55
2018-10-19,67.03
2018-10-22,66.83
2018-10-23,67.22
2018-10-24,61.3
2018-10-25,62.51
2018-10-26,62.37
2018-10-29,62.29
2018-10-30,64.85
2018-10-31,65.78
2018-11-01,70.37
2018-11-02,69.74
2018-11-05,69.33
2018-11-06,70.03
2018-11-07,70.3
2018-11-08,74.45
2018-11-09,72.13
2018-11-12,69.66
2018-11-13,70.86
2018-11-14,72.02
2018-11-15,75.35
2018-11-16,75.61
2018-11-19,73.88
2018-11-20,73.0
2018-11-21,73.0
2018-11-23,74.33
2018-11-26,75.74
2018-11-27,73.71
2018-11-28,75.89
2018-11-29,74.42
2018-11-30,75.0
2018-12-03,77.76
2018-12-04,74.48
2018-12-06,73.4
2018-12-07,70.26
2018-12-10,71.9
2018-12-11,72.2
2018-12-12,73.58
2018-12-13,72.43
2018-12-14,71.64
2018-12-17,71.21
2018-12-18,72.14
2018-12-19,68.61
2018-12-20,68.71
2018-12-21,67.99
2018-12-24,65.73
2018-12-26,70.38
2018-12-27,71.49
2018-12-28,71.64
2018-12-31,71.92
2019-01-02,71.35
2019-01-03,66.32
2019-01-04,69.01
2019-01-07,71.03
2019-01-08,72.96
2019-01-09,75.85
2019-01-10,76.62
2019-01-11,77.13
2019-01-14,74.24
2019-01-15,75.01
2019-01-16,75.08
2019-01-17,76.15
2019-01-18,77.64
2019-01-22,75.18
2019-01-23,74.36
2019-01-24,78.44
2019-01-25,80.63
2019-01-28,80.25
2019-01-29,79.49
2019-01-30,80.49
2019-01-31,80.37
2019-02-01,81.87
2019-02-04,82.58
2019-02-05,83.24
2019-02-06,89.31
2019-02-07,88.07
2019-02-08,87.41
2019-02-11,88.96
2019-02-12,91.51
2019-02-13,91.19
2019-02-14,90.6
2019-02-15,91.1
2019-02-19,90.69
2019-02-20,89.65
2019-02-21,89.0
2019-02-22,89.04
2019-02-25,89.81
2019-02-26,89.06
2019-02-27,87.07
2019-02-28,86.87
2019-03-01,88.64
2019-03-04,88.57
2019-03-05,87.27
2019-03-06,86.48
2019-03-07,84.45
2019-03-08,85.05
2019-03-11,86.8
2019-03-12,86.3
2019-03-13,85.06
2019-03-14,84.0
2019-03-15,86.1
2019-03-18,85.33
2019-03-19,86.1
2019-03-20,84.28
2019-03-21,87.38
2019-03-22,85.42
2019-03-25,83.82
2019-03-26,84.25
2019-03-27,81.37
2019-03-28,81.15
2019-03-29,82.96
2019-04-01,87.46
2019-04-02,87.72
2019-04-03,90.3
2019-04-04,91.27
2019-04-05,92.92
2019-04-08,94.06
2019-04-09,92.9
2019-04-10,94.25
2019-04-11,93.97
2019-04-12,95.36
2019-04-15,95.6
2019-04-16,97.77
2019-04-17,99.27
2019-04-18,98.71
2019-04-22,97.6
2019-04-23,98.16
2019-04-24,98.84
2019-04-25,97.48
2019-04-26,98.41
2019-04-29,98.72
2019-04-30,99.89
2019-05-01,98.96
2019-05-02,100.12
2019-05-03,100.75
2019-05-06,96.98
2019-05-07,94.15
2019-05-08,91.54
2019-05-09,89.38
2019-05-10,89.24
2019-05-13,83.61
2019-05-14,84.66
2019-05-15,85.8
2019-05-16,85.08
2019-05-17,83.26
2019-05-20,79.54
2019-05-21,81.95
2019-05-22,81.83
2019-05-23,81.59
2019-05-24,80.42
2019-05-28,79.11
2019-05-29,80.55
2019-05-30,81.34
2019-05-31,80.03
2019-06-03,79.75
2019-06-04,84.26
2019-06-05,82.33
2019-06-06,83.13
2019-06-07,83.67
2019-06-10,85.75
2019-06-11,85.34
2019-06-12,83.81
2019-06-13,84.1
2019-06-14,83.19
2019-06-17,81.23
2019-06-18,85.0
2019-06-19,84.75
2019-06-20,85.58
2019-06-21,85.1
2019-06-24,85.13
2019-06-25,83.94
2019-06-26,87.17
2019-06-27,87.14
2019-06-28,86.7
2019-07-01,91.4
2019-07-02,89.74
2019-07-03,89.77
2019-07-05,89.23
2019-07-08,87.93
2019-07-09,89.22
2019-07-10,89.36
2019-07-11,89.73
2019-07-12,91.71
2019-07-15,92.6
2019-07-16,90.75
2019-07-17,90.76
2019-07-18,92.9
2019-07-19,92.31
2019-07-22,93.56
2019-07-23,95.57
2019-07-24,99.84
2019-07-25,98.05
2019-07-26,98.11
2019-07-29,98.38
2019-07-30,96.99
2019-07-31,94.42
2019-08-01,91.6
2019-08-02,88.06
2019-08-05,83.62
2019-08-06,85.06
2019-08-07,88.42
2019-08-08,90.8
2019-08-09,87.85
2019-08-12,87.3
2019-08-13,90.38
2019-08-14,86.91
2019-08-15,86.84
2019-08-16,88.38
2019-08-19,90.05
2019-08-20,88.89
2019-08-21,89.02
2019-08-22,89.58
2019-08-23,84.58
2019-08-26,84.73
2019-08-27,84.35
2019-08-28,84.88
2019-08-29,86.57
2019-08-30,86.33
2019-09-03,84.89
2019-09-04,86.52
2019-09-05,88.83
2019-09-06,90.52
2019-09-09,91.87
2019-09-10,92.57
2019-09-11,95.42
2019-09-12,95.47
2019-09-13,95.0
2019-09-16,94.45
2019-09-17,93.76
2019-09-18,93.57
2019-09-19,92.49
2019-09-20,90.45
2019-09-23,91.92
2019-09-24,90.64
2019-09-25,93.01
2019-09-26,92.37
2019-09-27,91.29
2019-09-30,92.91
2019-10-01,92.92
2019-10-02,90.54
2019-10-03,91.7
2019-10-04,93.74
2019-10-07,92.34
2019-10-08,89.29
2019-10-09,91.19
2019-10-10,92.41
2019-10-11,95.52
2019-10-14,95.68
2019-10-15,96.81
2019-10-16,96.08
2019-10-17,95.69
2019-10-18,95.005
2019-10-21,97.78
2019-10-22,96.37
2019-10-23,92.99
2019-10-24,94.17
2019-10-25,93.9
2019-10-28,95.59
2019-10-29,94.81
2019-10-30,95.4
2019-10-31,94.29
2019-11-01,96.99
2019-11-04,99.78
2019-11-05,100.02
2019-11-06,95.62
2019-11-07,95.36
2019-11-08,96.21
2019-11-11,94.57
2019-11-12,93.68
2019-11-13,94.09
2019-11-14,93.62
2019-11-15,94.6
2019-11-18,92.43
2019-11-19,92.64
2019-11-20,91.15
2019-11-21,91.0
2019-11-22,91.66
2019-11-25,93.62
2019-11-26,95.37
2019-11-27,95.6
2019-11-29,94.54
2019-12-02,94.21
2019-12-03,91.87
2019-12-04,96.54
2019-12-05,96.71
2019-12-06,98.76
2019-12-09,99.02
2019-12-10,98.46
2019-12-11,99.35
2019-12-12,103.16
2019-12-13,102.09
2019-12-16,103.26
2019-12-17,102.47
2019-12-18,101.9
2019-12-19,102.37
2019-12-20,104.67
2019-12-23,104.98
2019-12-24,105.05
2019-12-26,105.93
2019-12-27,105.48
2019-12-30,104.99
2019-12-31,104.72
2020-01-02,107.6
2020-01-03,105.24
2020-01-06,103.73
2020-01-07,110.69
2020-01-08,109.29
2020-01-09,110.32
2020-01-10,110.83
2020-01-13,111.21
2020-01-14,110.12
2020-01-15,107.58
2020-01-16,108.82
2020-01-17,109.41
2020-01-21,109.24
2020-01-22,109.34
2020-01-23,110.26
2020-01-24,107.22
2020-01-27,102.98
2020-01-28,104.2
2020-01-29,102.46
2020-01-30,101.56
2020-01-31,97.48
2020-02-03,97.55
2020-02-04,101.71
2020-02-05,108.51
2020-02-06,108.48
2020-02-07,106.21
2020-02-10,108.15
2020-02-11,108.86
2020-02-12,109.7
2020-02-13,110.37
2020-02-14,109.36
2020-02-18,106.96
2020-02-19,109.82
2020-02-20,108.13
2020-02-21,105.08
2020-02-24,100.13
2020-02-25,97.18
2020-02-26,94.77
2020-02-27,89.88
2020-02-28,90.71
2020-03-02,95.22
2020-03-03,89.41
2020-03-04,93.26
2020-03-05,88.68
2020-03-06,86.96
2020-03-09,77.96
2020-03-10,81.48
2020-03-11,73.4
2020-03-12,62.32
2020-03-13,69.97
2020-03-16,55.77
2020-03-17,62.5
2020-03-18,57.95
2020-03-19,60.56
2020-03-20,59.64
2020-03-23,65.51
2020-03-24,75.72
2020-03-25,74.93
2020-03-26,74.52
2020-03-27,68.2
2020-03-30,68.99
2020-03-31,67.8
2020-04-01,62.79
2020-04-02,64.98
2020-04-03,64.04
2020-04-06,73.98
2020-04-07,73.34
2020-04-08,79.52
